        eV      barns         eV      barns         eV      barns
 ---------- ---------- ---------- ---------- ---------- ----------
 1.000000-5 0.000000+0 2.530000-2 0.000000+0 1.000000+0 0.000000+0
 8.450000+5 0.000000+0 8.450000+5 3.919000+0 8.480000+5 4.284000+0
 8.490000+5 4.638000+0 8.500000+5 5.272000+0 8.505000+5 5.673000+0
 8.510000+5 5.987000+0 8.515000+5 6.037000+0 8.520000+5 5.794000+0
 8.530000+5 5.071000+0 8.540000+5 4.613000+0 8.550000+5 4.419000+0
 8.560000+5 4.399000+0 8.570000+5 4.543000+0 8.590000+5 5.178000+0
 8.595000+5 5.144000+0 8.600000+5 4.972000+0 8.610000+5 4.540000+0
 8.620000+5 4.248000+0 8.630000+5 4.113000+0 8.640000+5 4.078000+0
 8.645000+5 4.147000+0 8.650000+5 4.287000+0 8.660000+5 3.968000+0
 8.680000+5 3.855000+0 8.700000+5 3.851000+0 8.720000+5 3.946000+0
 8.740000+5 4.165000+0 8.750000+5 4.322600+0 8.752924+5 4.370044+0
 8.760000+5 4.486000+0 8.770000+5 4.573000+0 8.780000+5 4.522000+0
 8.820000+5 3.806000+0 8.850000+5 3.522000+0 8.900000+5 3.286000+0
 8.950000+5 3.125000+0 9.000000+5 3.029000+0 9.050000+5 2.914000+0
 9.080000+5 2.787000+0 9.100000+5 2.658000+0 9.120000+5 2.476000+0
 9.140000+5 2.230000+0 9.150000+5 2.157000+0 9.155000+5 2.166000+0
 9.160000+5 2.219000+0 9.165000+5 2.324000+0 9.170000+5 2.475000+0
 9.180000+5 2.844000+0 9.190000+5 3.125000+0 9.200000+5 3.196000+0
 9.210000+5 3.112000+0 9.220000+5 2.979000+0 9.240000+5 2.792000+0
 9.250000+5 2.788000+0 9.260000+5 2.843000+0 9.270000+5 2.989000+0
 9.280000+5 3.237000+0 9.290000+5 3.653000+0 9.300000+5 4.211000+0
 9.305000+5 4.385000+0 9.310000+5 4.358000+0 9.315000+5 4.147000+0
 9.320000+5 3.861000+0 9.330000+5 3.363000+0 9.340000+5 3.036000+0
 9.360000+5 2.612000+0 9.370000+5 2.456000+0 9.380000+5 2.379000+0
 9.390000+5 2.423000+0 9.400000+5 2.564000+0 9.420000+5 2.897000+0
 9.440000+5 3.141000+0 9.460000+5 3.227000+0 9.500000+5 3.135000+0
 9.550000+5 2.994000+0 9.640000+5 2.846000+0 9.660000+5 2.848000+0
 9.680000+5 2.905000+0 9.690000+5 3.022000+0 9.695000+5 3.157000+0
 9.700000+5 3.408000+0 9.706000+5 3.834000+0 9.708000+5 3.901000+0
 9.710000+5 3.874000+0 9.712000+5 3.766000+0 9.715000+5 3.546000+0
 9.720000+5 3.252000+0 9.725000+5 3.094000+0 9.730000+5 3.015000+0
 9.740000+5 2.968000+0 9.760000+5 3.067000+0 9.790000+5 3.521000+0
 9.800000+5 3.588000+0 9.810000+5 3.491000+0 9.840000+5 2.918000+0
 9.860000+5 2.699000+0 9.900000+5 2.497000+0 9.950000+5 2.373000+0
 1.000000+6 2.367000+0 1.005000+6 2.523000+0 1.010000+6 2.884000+0
 1.016000+6 3.434000+0 1.018000+6 3.571000+0 1.020000+6 3.626000+0
 1.024000+6 3.522000+0 1.025000+6 3.538000+0 1.026000+6 3.614000+0
 1.026500+6 3.590000+0 1.028000+6 3.228000+0 1.029000+6 3.064000+0
 1.032000+6 2.808000+0 1.034000+6 2.611000+0 1.036000+6 2.467000+0
 1.038000+6 2.506000+0 1.039000+6 2.644000+0 1.040000+6 2.874000+0
 1.042000+6 3.492000+0 1.043000+6 3.727000+0 1.044000+6 3.814000+0
 1.045000+6 3.763000+0 1.048000+6 3.399000+0 1.050000+6 3.257000+0
 1.052374+6 3.143185+0 1.060000+6 2.792000+0 1.075000+6 2.136000+0
 1.080000+6 2.019000+0 1.082000+6 2.069000+0 1.084000+6 2.250000+0
 1.086000+6 2.554000+0 1.090000+6 3.291000+0 1.092000+6 3.551000+0
 1.094000+6 3.582000+0 1.098000+6 3.254000+0 1.100000+6 3.119000+0
 1.102000+6 3.045000+0 1.104000+6 3.063000+0 1.110000+6 3.346000+0
 1.115000+6 3.532000+0 1.120000+6 3.599000+0 1.140000+6 3.562000+0
 1.145000+6 3.635000+0 1.147000+6 3.728000+0 1.148000+6 3.814000+0
 1.148500+6 3.888000+0 1.149000+6 4.005000+0 1.149500+6 4.222000+0
 1.150000+6 4.644000+0 1.150200+6 4.837000+0 1.150400+6 4.942000+0
 1.150600+6 4.895000+0 1.151000+6 4.571000+0 1.151500+6 4.296000+0
 1.152000+6 4.195000+0 1.153000+6 4.181000+0 1.154000+6 4.243000+0
 1.162000+6 5.161000+0 1.164000+6 5.323000+0 1.166000+6 5.372000+0
 1.168000+6 5.297000+0 1.172000+6 4.898000+0 1.174000+6 4.674000+0
 1.176000+6 4.502000+0 1.178000+6 4.466000+0 1.179000+6 4.519000+0
 1.180000+6 4.521000+0 1.181000+6 4.361000+0 1.182000+6 4.149000+0
 1.184000+6 3.862000+0 1.186000+6 3.703000+0 1.191000+6 3.486000+0
 1.192000+6 3.457000+0 1.193000+6 3.533000+0 1.195000+6 3.797000+0
 1.196000+6 3.706000+0 1.197000+6 3.538000+0 1.198000+6 3.423000+0
 1.200000+6 3.314000+0 1.210000+6 3.145000+0 1.225000+6 3.175000+0
 1.230000+6 3.149000+0 1.235000+6 3.255000+0 1.238000+6 3.401000+0
 1.240000+6 3.395000+0 1.244000+6 3.121000+0 1.248000+6 2.922000+0
 1.250000+6 3.030000+0 1.251000+6 3.193000+0 1.252000+6 3.435000+0
 1.253000+6 3.731000+0 1.254000+6 3.911000+0 1.255000+6 3.816000+0
 1.256000+6 3.616000+0 1.257000+6 3.487000+0 1.258000+6 3.454000+0
 1.259000+6 3.501000+0 1.262000+6 3.855000+0 1.263000+6 3.878000+0
 1.264000+6 3.792000+0 1.266000+6 3.478000+0 1.268000+6 3.234000+0
 1.270000+6 3.099000+0 1.275000+6 2.995000+0 1.278000+6 2.981000+0
 1.280000+6 2.888000+0 1.283000+6 2.661000+0 1.284000+6 2.607000+0
 1.285000+6 2.614000+0 1.286000+6 2.688000+0 1.287000+6 2.809000+0
 1.288000+6 2.969000+0 1.290000+6 3.382000+0 1.291000+6 3.328000+0
 1.292000+6 3.159000+0 1.295000+6 2.954000+0 1.300000+6 2.808000+0
 1.310000+6 2.600000+0 1.314000+6 2.631000+0 1.316000+6 2.682000+0
 1.320000+6 2.874000+0 1.322000+6 2.862000+0 1.325000+6 2.684000+0
 1.330000+6 2.527000+0 1.335000+6 2.506000+0 1.340000+6 2.617000+0
 1.341000+6 2.685000+0 1.342000+6 2.781000+0 1.343500+6 3.197000+0
 1.344000+6 3.265000+0 1.344500+6 3.229000+0 1.346000+6 2.836000+0
 1.347000+6 2.656000+0 1.348000+6 2.505000+0 1.349000+6 2.420000+0
 1.350000+6 2.407000+0 1.351000+6 2.469000+0 1.352000+6 2.592000+0
 1.353000+6 2.688000+0 1.355000+6 2.981000+0 1.356000+6 3.017000+0
 1.357000+6 2.896000+0 1.358000+6 2.730000+0 1.360000+6 2.512000+0
 1.362000+6 2.389000+0 1.364000+6 2.302000+0 1.366000+6 2.292000+0
 1.368000+6 2.362000+0 1.369000+6 2.426000+0 1.371000+6 2.629000+0
 1.374000+6 2.993000+0 1.375000+6 3.081000+0 1.380000+6 3.264000+0
 1.381000+6 3.216000+0 1.387000+6 3.318000+0 1.390000+6 3.453000+0
 1.395000+6 3.793000+0 1.396000+6 4.005000+0 1.397000+6 4.061000+0
 1.398000+6 4.046000+0 1.400000+6 3.915000+0 1.401000+6 3.859000+0
 1.403000+6 3.590000+0 1.406000+6 3.293000+0 1.410000+6 3.035000+0
 1.414000+6 2.876000+0 1.418000+6 2.803000+0 1.422000+6 2.812000+0
 1.424000+6 2.854000+0 1.426000+6 2.952000+0 1.427000+6 3.030000+0
 1.430000+6 3.433000+0 1.434000+6 4.076000+0 1.436000+6 4.292000+0
 1.438000+6 4.269000+0 1.440000+6 4.042000+0 1.442000+6 3.762000+0
 1.444000+6 3.535000+0 1.446000+6 3.409000+0 1.448000+6 3.448000+0
 1.450000+6 3.774000+0 1.451000+6 3.827000+0 1.453000+6 3.364000+0
 1.454000+6 3.198000+0 1.456000+6 3.032000+0 1.460000+6 2.925000+0
 1.470000+6 2.920000+0 1.480000+6 2.846000+0 1.500000+6 2.910000+0
 1.510000+6 2.993000+0 1.520000+6 3.235000+0 1.525000+6 3.281000+0
 1.528000+6 3.344000+0 1.530000+6 3.437000+0 1.532000+6 3.585000+0
 1.538000+6 4.213000+0 1.540000+6 4.266000+0 1.542000+6 4.129000+0
 1.544000+6 3.856000+0 1.548000+6 3.258000+0 1.550000+6 3.022000+0
 1.552000+6 2.833000+0 1.554000+6 2.724000+0 1.556000+6 2.705000+0
 1.558500+6 2.798000+0 1.559000+6 2.857000+0 1.559400+6 3.059000+0
 1.559800+6 3.367000+0 1.560000+6 3.426000+0 1.560200+6 3.341000+0
 1.560600+6 3.048000+0 1.561000+6 2.879000+0 1.561500+6 2.791000+0
 1.562000+6 2.758000+0 1.564000+6 2.760000+0 1.566000+6 2.813000+0
 1.575000+6 3.157000+0 1.580000+6 3.093000+0 1.585000+6 2.917000+0
 1.591000+6 2.776000+0 1.595000+6 2.748000+0 1.598000+6 2.823000+0
 1.599000+6 2.916000+0 1.600000+6 3.108000+0 1.601000+6 3.323000+0
 1.602000+6 3.470000+0 1.603000+6 3.514000+0 1.604000+6 3.490000+0
 1.605000+6 3.361000+0 1.610000+6 3.091000+0 1.620000+6 2.643000+0
 1.624000+6 2.595000+0 1.625000+6 2.656000+0 1.627000+6 2.963000+0
 1.628000+6 3.092000+0 1.629000+6 3.099000+0 1.630000+6 2.982000+0
