        eV      barns         eV      barns         eV      barns
 ---------- ---------- ---------- ---------- ---------- ----------
 1.000000-5 0.000000+0 2.530000-2 0.000000+0 1.000000+3 0.000000+0
 1.000000+6 0.000000+0 1.750000+6 0.000000+0 1.750000+6 5.500000-4
 2.000000+6 3.200000-4 3.000000+6 2.300000-4 4.000000+6 2.800000-4
 5.000000+6 3.500000-4 6.000000+6 3.400000-4 7.000000+6 3.000000-4
 8.000000+6 2.100000-4 9.000000+6 1.700000-4 1.000000+7 2.900000-4
 1.100000+7 3.200000-4 1.200000+7 4.300000-4 1.300000+7 4.600000-4
 1.400000+7 4.400000-4 1.600000+7 4.100000-4 1.750000+7 3.900000-4
 2.000000+7 2.800000-4 2.000001+7 0.000000+0 1.500000+8 0.000000+0
