         eV      barns         eV      barns         eV      barns
 ---------- ---------- ---------- ---------- ---------- ----------
 1.000000-5 1.207180-1 2.530000-2 2.399990-3 5.000000+5 2.811840-6
 5.013000+5 9.022000-1 5.032000+5 1.515500+0 5.049000+5 2.395700+0
 5.057000+5 3.115400+0 5.065000+5 4.217800+0 5.082000+5 5.586700+0
 5.100000+5 4.495800+0 5.107000+5 4.111100+0 5.121000+5 3.071100+0
 5.141000+5 2.333300+0 5.166000+5 1.800000+0 5.185000+5 1.524400+0
 5.200000+5 1.479800+0 5.203000+5 1.444400+0 5.211000+5 1.438800+0
 5.215000+5 1.722200+0 5.220000+5 1.350000+0 5.238000+5 1.216700+0
 5.246000+5 1.205600+0 5.253000+5 1.683300+0 5.257000+5 1.144400+0
 5.280000+5 9.260100-1 5.289000+5 8.444000-1 5.313000+5 9.610900-1
 5.346000+5 7.333000-1 5.366000+5 9.000300-1 5.372000+5 1.672200+0
 5.380000+5 1.186700+0 5.385000+5 8.833000-1 5.413000+5 7.000000-1
 5.475000+5 6.777900-1 5.540000+5 5.667000-1 5.566000+5 7.778000-1
 5.579000+5 9.500000-1 5.591000+5 2.622200+0 5.595000+5 1.100000+0
 5.604000+5 7.443900-1 5.635000+5 6.778000-1 5.664000+5 7.333200-1
 5.685000+5 9.333200-1 5.690000+5 1.255600+0 5.699000+5 2.477800+0
 5.706000+5 1.211000+0 5.724000+5 8.944000-1 5.749000+5 1.094400+0
 5.772000+5 1.311100+0 5.799000+5 1.411200+0 5.802000+5 1.533300+0
 5.843000+5 2.013300+0 5.880000+5 2.709800+0 5.920000+5 3.600000+0
 5.937000+5 4.280000+0 5.943000+5 5.355600+0 5.956000+5 4.244400+0
 5.972000+5 4.297700+0 6.000000+5 4.695700+0 6.012000+5 4.840000+0
 6.029000+5 4.902200+0 6.080000+5 4.688600+0 6.096000+5 4.608900+0
 6.098000+5 5.044500+0 6.107000+5 4.520000+0 6.147000+5 4.208900+0
 6.191000+5 3.640000+0 6.212000+5 3.595600+0 6.241000+5 3.124400+0
 6.266000+5 2.564400+0 6.279000+5 2.680200+0 6.306000+5 1.968900+0
 6.323000+5 1.471000+0 6.343000+5 7.421700-1 6.346000+5 1.240000+0
 6.358000+5 2.591100+0 6.369000+5 4.244400+0 6.392000+5 3.382200+0
 6.402000+5 4.155600+0 6.412000+5 5.977900+0 6.426000+5 3.844400+0
 6.436000+5 3.231100+0 6.451000+5 2.822200+0 6.503000+5 2.324400+0
 6.521000+5 2.226500+0 6.532000+5 2.697800+0 6.538000+5 2.137700+0
 6.564000+5 1.897900+0 6.600000+5 1.737600+0 6.601000+5 1.714400+0
 6.674000+5 1.426700+0 6.679000+5 1.730100+0 6.685000+5 1.356700+0
 6.718000+5 7.189000-1 6.727000+5 9.289000-1 6.739000+5 1.286700+0
 6.745000+5 1.854400+0 6.749000+5 2.811100+0 6.753000+5 3.503200+0
 6.762000+5 4.071100+0 6.772000+5 3.223300+0 6.790000+5 2.515600+0
 6.813000+5 2.072200+0 6.860000+5 1.697600+0 6.871000+5 1.597800+0
 6.919000+5 1.489000+0 6.934000+5 1.823300+0 6.940000+5 2.532100+0
 6.947000+5 3.410000+0 6.953000+5 2.227800+0 6.970000+5 1.807800+0
 7.003000+5 1.535600+0 7.049000+5 1.278900+0 7.118000+5 1.193300+0
 7.129000+5 1.916700+0 7.136000+5 1.302200+0 7.163000+5 1.037800+0
 7.261000+5 9.133000-1 7.279000+5 1.364400+0 7.281000+5 1.403300+0
 7.297000+5 9.522200-1 7.328000+5 8.433000-1 7.356000+5 9.833000-1
 7.372000+5 1.691000+0 7.382000+5 2.507800+0 7.405000+5 1.154200+0
 7.415000+5 1.582200+0 7.423000+5 2.025700+0 7.432000+5 2.655500+0
 7.439000+5 3.526700+0 7.447000+5 3.954300+0 7.454000+5 3.573400+0
 7.474000+5 2.756600+0 7.486000+5 2.033300+0 7.505000+5 1.403300+0
 7.528000+5 1.115600+0 7.543000+5 1.053300+0 7.554000+5 1.216700+0
 7.577000+5 2.173300+0 7.583000+5 1.574400+0 7.593000+5 1.099900+0
 7.601000+5 8.667100-1 7.615000+5 8.200000-1 7.638000+5 9.833100-1
 7.647000+5 1.395600+0 7.654000+5 1.107800+0 7.665000+5 1.177800+0
 7.685000+5 1.504400+0 7.697000+5 1.924400+0 7.712000+5 2.608900+0
 7.729000+5 3.596700+0 7.733000+5 3.938900+0 7.741000+5 4.094400+0
 7.772000+5 3.666700+0 7.784000+5 3.332200+0 7.796000+5 3.052200+0
 7.806000+5 2.875600+0 7.828000+5 2.253300+0 7.852000+5 1.835600+0
 7.878000+5 1.440000+0 7.902000+5 1.146700+0 7.916000+5 1.440000+0
 7.928000+5 1.866700+0 7.934000+5 2.444400+0 7.940000+5 3.777800+0
 7.951000+5 2.746700+0 7.967000+5 2.217800+0 7.984000+5 1.924400+0
 7.997000+5 1.808900+0 8.000000+5 2.062200+0 8.011000+5 1.733300+0
 8.033000+5 1.480000+0 8.069000+5 1.199900+0 8.089000+5 1.111200+0
 8.094000+5 1.240000+0 8.103000+5 1.044400+0 8.188000+5 6.711000-1
 8.208000+5 8.088900-1 8.217000+5 1.066700+0 8.227000+5 1.644400+0
 8.235000+5 2.244300+0 8.241000+5 2.573200+0 8.250000+5 2.822000+0
 8.257000+5 2.337800+0 8.280000+5 1.559900+0 8.290000+5 1.431100+0
 8.294000+5 1.546700+0 8.308000+5 1.240000+0 8.341000+5 9.289000-1
 8.373000+5 7.421900-1 8.393000+5 9.111000-1 8.404000+5 1.200000+0
 8.413000+5 1.733300+0 8.418000+5 2.333300+0 8.429000+5 1.928900+0
 8.441000+5 1.533300+0 8.449000+5 1.253300+0 8.461000+5 1.151100+0
 8.476000+5 1.128900+0 8.483000+5 1.346700+0 8.495000+5 1.146700+0
 8.507000+5 1.226700+0 8.542000+5 1.386700+0 8.569000+5 1.806600+0
 8.577000+5 2.080200+0 8.581000+5 2.506800+0 8.588000+5 2.046700+0
 8.598000+5 1.960000+0 8.614000+5 2.213300+0 8.635000+5 2.680000+0
 8.658000+5 3.393400+0 8.669000+5 3.866800+0 8.675000+5 3.326700+0
 8.689000+5 2.460000+0 8.704000+5 1.686700+0 8.721000+5 1.013300+0
 8.735000+5 1.280000+0 8.743000+5 1.613300+0 8.752000+5 1.393300+0
 8.783000+5 1.900000+0 8.811000+5 2.446700+0 8.833000+5 3.066700+0
 8.841000+5 3.593300+0 8.848000+5 4.173300+0 8.857000+5 3.640000+0
 8.889000+5 3.500000+0 8.896000+5 3.726700+0 8.902000+5 3.873300+0
 8.909000+5 3.973300+0 8.917000+5 3.853300+0 8.986000+5 3.640000+0
 8.990000+5 3.533400+0 8.997000+5 3.906800+0 9.001000+5 3.653200+0
 9.050000+5 3.386600+0 9.071000+5 3.820100+0 9.076000+5 4.120200+0
 9.081000+5 4.820200+0 9.092000+5 4.173500+0 9.107000+5 3.780000+0
 9.167000+5 3.220000+0 9.198000+5 3.000000+0 9.212000+5 3.083300+0
 9.216000+5 3.044300+0 9.219000+5 2.827800+0 9.223000+5 3.083300+0
 9.231000+5 3.328000+0 9.236000+5 3.555600+0 9.241000+5 3.989000+0
 9.247000+5 3.283300+0 9.280000+5 2.650000+0 9.319000+5 2.444400+0
 9.358000+5 2.161100+0 9.372000+5 2.194400+0 9.398000+5 2.427800+0
 9.408000+5 2.772100+0 9.415000+5 3.222200+0 9.433000+5 2.799900+0
 9.442000+5 3.033300+0 9.454000+5 3.933300+0 9.461000+5 3.077800+0
 9.468000+5 2.550000+0 9.481000+5 2.094400+0 9.504000+5 1.838900+0
 9.555000+5 1.494400+0 9.572000+5 1.511100+0 9.582000+5 1.727800+0
 9.588000+5 2.211100+0 9.593000+5 2.572200+0 9.600000+5 2.072200+0
 9.608000+5 1.611100+0 9.620000+5 1.405600+0 9.637000+5 1.244400+0
 9.666000+5 1.255600+0 9.683000+5 1.372200+0 9.691000+5 1.583300+0
 9.699000+5 1.911100+0 9.707000+5 2.527800+0 9.717000+5 3.172200+0
 9.726000+5 3.427800+0 9.736000+5 3.594400+0 9.753000+5 3.244400+0
 9.761000+5 3.233300+0 9.773000+5 2.988900+0 9.778000+5 3.027800+0
 9.796000+5 2.544400+0 9.801000+5 2.594400+0 9.822000+5 2.200000+0
 9.854000+5 1.900000+0 9.862000+5 1.944400+0 9.872000+5 1.783300+0
 9.904000+5 1.627800+0 9.917000+5 1.822000+0 9.926000+5 2.538600+0
 9.933000+5 3.416800+0 9.950000+5 1.827800+0 9.960000+5 1.522400+0
 9.981000+5 1.200000+0 1.000000+6 1.135600+0 1.000400+6 1.122100+0
 1.002400+6 1.288900+0 1.003900+6 1.938900+0 1.005100+6 2.316700+0
 1.007500+6 3.422200+0 1.007900+6 3.516700+0 1.009700+6 3.444400+0
 1.010800+6 3.488900+0 1.012200+6 3.261100+0 1.016200+6 2.861100+0
 1.017800+6 3.216700+0 1.018400+6 3.733300+0 1.019100+6 4.383400+0
 1.019800+6 3.794400+0 1.020600+6 3.172200+0 1.022700+6 2.794400+0
 1.024000+6 2.705600+0 1.025100+6 2.938900+0 1.026000+6 2.511100+0
 1.028000+6 2.238900+0 1.033000+6 1.938900+0 1.034900+6 1.888900+0
 1.035500+6 1.788900+0 1.037100+6 2.416600+0 1.037500+6 2.894300+0
 1.038000+6 3.177800+0 1.038700+6 2.888900+0 1.039900+6 2.650000+0
 1.040600+6 2.905600+0 1.041300+6 3.222300+0 1.041900+6 2.833300+0
 1.042400+6 2.610800+0 1.044000+6 2.422100+0 1.045300+6 2.572100+0
 1.046100+6 2.933200+0 1.047200+6 2.222200+0 1.049700+6 1.822200+0
 1.054700+6 1.561100+0 1.055300+6 1.405600+0 1.057300+6 1.855600+0
