        eV      barns         eV      barns         eV      barns
 ---------- ---------- ---------- ---------- ---------- ----------
 1.000000-5 0.000000+0 2.530000-2 0.000000+0 1.000000+5 0.000000+0
 1.100000+5 4.000000-3 1.400000+5 4.000000-3 1.600000+5 9.000000-3
 1.900000+5 9.000000-3 2.100000+5 0.000000+0 2.900000+5 0.000000+0
 3.100000+5 5.000000-3 5.000000+5 5.000000-3 7.000000+5 5.000000-3
 7.000000+5 3.525150+0 7.044300+5 3.768300+0 7.049100+5 4.660810+0
 7.053200+5 3.318160+0 7.077700+5 3.416390+0 7.085000+5 3.574900+0
 7.089100+5 4.699690+0 7.094100+5 3.413640+0 7.108800+5 3.040630+0
 7.148500+5 2.483840+0 7.154300+5 2.549150+0 7.159300+5 2.139210+0
 7.166800+5 2.366500+0 7.168500+5 2.464000+0 7.171800+5 4.685710+0
 7.174300+5 5.640260+0 7.177700+5 2.702800+0 7.181000+5 1.827380+0
 7.188500+5 1.240950+0 7.189400+5 1.250060+0 7.190200+5 1.009900+0
 7.195200+5 6.038170-1 7.196900+5 8.332330-1 7.202800+5 3.539300+0
 7.206100+5 3.557680+0 7.214500+5 2.475280+0 7.222100+5 2.221990+0
 7.226300+5 3.060270+0 7.230600+5 1.964880+0 7.237300+5 1.814060+0
 7.240700+5 2.587300+0 7.244900+5 4.382790+0 7.252600+5 2.439890+0
 7.258500+5 1.967750+0 7.262700+5 2.610630+0 7.265300+5 4.220500+0
 7.267800+5 6.610160+0 7.273800+5 2.129410+0 7.277200+5 1.586690+0
 7.278100+5 1.870380+0 7.279800+5 1.602990+0 7.282300+5 1.725410+0
 7.286600+5 1.260310+0 7.287500+5 1.347080+0 7.289200+5 1.139700+0
 7.296000+5 1.405320+0 7.301100+5 1.724330+0 7.304600+5 2.364670+0
 7.308900+5 4.145030+0 7.313100+5 6.659920+0 7.316600+5 5.122640+0
 7.320000+5 2.701210+0 7.321700+5 1.849010+0 7.324300+5 1.296930+0
 7.328600+5 8.405420-1 7.330400+5 7.638250-1 7.331200+5 6.446220-1
 7.332100+5 8.439140-1 7.332900+5 7.029120-1 7.333800+5 8.010130-1
 7.334700+5 6.483870-1 7.335500+5 7.282190-1 7.338100+5 6.119990-1
 7.339000+5 7.175020-1 7.342400+5 5.352390-1 7.344200+5 6.515030-1
 7.345900+5 5.390220-1 7.346800+5 6.731430-1 7.350200+5 6.152520-1
 7.351100+5 7.020320-1 7.351900+5 6.294300-1 7.353700+5 6.967110-1
 7.356300+5 6.634830-1 7.357100+5 8.153520-1 7.360600+5 7.783920-1
 7.368400+5 9.897350-1 7.369300+5 1.128060+0 7.370200+5 9.847620-1
 7.371900+5 1.223920+0 7.375400+5 1.166550+0 7.376200+5 1.301540+0
 7.377100+5 1.169250+0 7.379700+5 1.404040+0 7.380600+5 1.285180+0
 7.385800+5 1.662970+0 7.391100+5 3.071780+0 7.398000+5 2.588250+0
 7.402400+5 3.416470+0 7.407700+5 8.015830+0 7.410300+5 5.955380+0
 7.412900+5 3.564250+0 7.418200+5 4.629460+0 7.421700+5 3.371650+0
 7.436600+5 3.593880+0 7.443700+5 4.390520+0 7.448100+5 6.652680+0
 7.453400+5 4.172920+0 7.479100+5 3.321230+0 7.484400+5 2.354620+0
 7.488000+5 2.873830+0 7.494200+5 6.297600+0 7.500400+5 4.695980+0
 7.515600+5 5.341600+0 7.530000+5 7.613800+0 7.542500+5 1.104420+1
 7.553400+5 7.749230+0 7.558800+5 6.815300+0 7.566000+5 5.048850+0
 7.602300+5 3.541300+0 7.606800+5 5.081070+0 7.610500+5 7.530090+0
 7.618700+5 2.469960+0 7.622300+5 1.670430+0 7.626900+5 2.563180+0
 7.635100+5 4.066900+0 7.643400+5 5.807170+0 7.648900+5 4.466710+0
 7.668200+5 4.377200+0 7.673800+5 4.611640+0 7.682100+5 3.971680+0
 7.691300+5 4.687980+0 7.696000+5 7.799810+0 7.698700+5 9.735010+0
 7.704300+5 5.444430+0 7.712700+5 3.928960+0 7.732300+5 3.778980+0
 7.736900+5 3.966240+0 7.745300+5 3.307530+0 7.752800+5 3.791770+0
 7.755600+5 5.827910+0 7.759400+5 8.697100+0 7.765000+5 4.520680+0
 7.783900+5 3.379530+0 7.805600+5 3.118580+0 7.817900+5 3.594680+0
 7.822700+5 5.533750+0 7.826500+5 8.646410+0 7.832200+5 4.116850+0
 7.837900+5 3.153070+0 7.842700+5 3.348130+0 7.847400+5 2.623580+0
 7.874200+5 2.094890+0 7.877100+5 2.840880+0 7.880000+5 4.348650+0
 7.885800+5 2.117970+0 7.894400+5 1.491790+0 7.898300+5 1.538830+0
 7.903100+5 1.211740+0 7.905000+5 1.212240+0 7.908900+5 2.106420+0
 7.913700+5 4.456400+0 7.920500+5 2.053980+0 7.925300+5 1.190720+0
 7.933100+5 9.962170-1 7.938900+5 1.415990+0 7.940900+5 1.570700+0
 7.943800+5 2.322640+0 7.944700+5 2.187390+0 7.951600+5 3.964710+0
 7.955500+5 5.311290+0 7.962300+5 4.375170+0 8.000000+5 3.369080+0
 8.017200+5 2.910060+0 8.023100+5 3.051720+0 8.027100+5 2.689520+0
 8.042900+5 2.450040+0 8.052800+5 2.831610+0 8.057800+5 2.246290+0
 8.060700+5 2.192420+0 8.067700+5 2.275380+0 8.070700+5 3.376690+0
 8.073700+5 4.458180+0 8.078700+5 2.362810+0 8.086700+5 2.001200+0
 8.098600+5 1.746410+0 8.107700+5 1.441460+0 8.116700+5 1.342840+0
 8.121700+5 1.825250+0 8.126700+5 1.584820+0 8.129800+5 1.991250+0
 8.136800+5 1.234730+0 8.140800+5 1.086650+0 8.141900+5 1.195720+0
 8.143900+5 1.025550+0 8.149900+5 7.521640-1 8.153000+5 7.979220-1
 8.155000+5 1.357150+0 8.159000+5 2.522760+0 8.166100+5 1.395770+0
 8.174200+5 1.001060+0 8.179300+5 1.119860+0 8.182400+5 2.027310+0
 8.185400+5 2.789330+0 8.191500+5 1.383210+0 8.194600+5 1.466330+0
 8.199700+5 3.351880+0 8.203700+5 1.651390+0 8.205800+5 1.345340+0
 8.209900+5 2.210220+0 8.211900+5 1.933630+0 8.214000+5 1.091430+0
 8.215000+5 8.411610-1 8.219100+5 6.024260-1 8.221100+5 5.770800-1
 8.227300+5 1.165750+0 8.231400+5 5.584170-1 8.234400+5 3.025250-1
 8.236500+5 4.476030-1 8.240600+5 3.850880-1 8.241600+5 3.222900-1
 8.242700+5 3.875120-1 8.244700+5 2.669310-1 8.245700+5 2.695040-1
 8.246800+5 4.812210-1 8.248800+5 6.753760-1 8.250900+5 1.312830+0
 8.251900+5 1.841630+0 8.255000+5 2.016070+0 8.258100+5 1.453340+0
 8.263300+5 1.452050+0 8.274600+5 3.134280+0 8.285000+5 3.539600+0
 8.290100+5 5.225160+0 8.296400+5 2.287830+0 8.301600+5 1.505950+0
 8.305700+5 1.724630+0 8.309900+5 1.718460+0 8.312000+5 1.125740+0
 8.315100+5 8.115840-1 8.318200+5 7.590530-1 8.323400+5 7.640090-1
 8.324500+5 6.684630-1 8.326500+5 7.596290-1 8.328600+5 6.600130-1
 8.333800+5 7.354330-1 8.335900+5 6.919840-1 8.341200+5 9.924180-1
 8.342200+5 8.664310-1 8.352700+5 1.809960+0 8.355800+5 2.876610+0
 8.361100+5 5.641940+0 8.367400+5 2.659330+0 8.374700+5 2.429360+0
 8.394800+5 3.710270+0 8.403200+5 3.026970+0 8.408500+5 2.436490+0
 8.412800+5 3.239370+0 8.418100+5 1.047840+0 8.421200+5 4.693570-1
 8.424400+5 4.039470-1 8.428700+5 4.136070-1 8.429700+5 5.349590-1
 8.431900+5 1.150940+0 8.434000+5 2.295300+0 8.437200+5 4.299630+0
 8.439300+5 4.103030+0 8.443600+5 2.303070+0 8.453200+5 1.631230+0
 8.460700+5 1.966290+0 8.464900+5 2.691770+0 8.470300+5 2.796490+0
 8.474600+5 4.231520+0 8.478800+5 5.179970+0 8.483100+5 2.872650+0
 8.492800+5 2.724870+0 8.510000+5 4.192290+0 8.517600+5 6.258530+0
 8.526200+5 9.382510+0 8.539200+5 5.503850+0 8.546800+5 5.575830+0
 8.559800+5 4.243840+0 8.568500+5 4.470000+0 8.586000+5 3.866340+0
 8.593700+5 5.837290+0 8.599100+5 3.345340+0 8.607900+5 2.154630+0
 8.611200+5 1.709530+0 8.615600+5 3.623000+0 8.622200+5 7.755000+0
 8.627700+5 9.185830+0 8.632100+5 9.934310+0 8.637600+5 5.115190+0
 8.644200+5 3.259750+0 8.664100+5 1.756310+0 8.674100+5 1.265320+0
 8.679600+5 1.096840+0 8.681800+5 7.898820-1 8.683000+5 9.862260-1
 8.685200+5 7.190520-1 8.687400+5 8.526590-1 8.688500+5 6.340470-1
 8.689600+5 7.653220-1 8.690700+5 6.093790-1 8.693000+5 6.694340-1
 8.695200+5 5.977170-1 8.699700+5 5.861350-1 8.700800+5 4.990200-1
 8.701900+5 5.719860-1 8.706300+5 1.506090+0 8.715300+5 1.120300+0
 8.719700+5 1.429100+0 8.725300+5 2.437350+0 8.729800+5 2.017770+0
 8.736500+5 2.746340+0 8.745500+5 4.113250+0 8.753400+5 2.591190+0
 8.757900+5 1.176000+0 8.760100+5 1.020660+0 8.763500+5 2.067920+0
 8.766900+5 3.318770+0 8.771400+5 2.414140+0 8.785000+5 3.167310+0
 8.790600+5 4.051830+0 8.806500+5 4.263180+0 8.812200+5 5.592120+0
 8.817900+5 8.836470+0 8.824700+5 4.619890+0 8.839500+5 3.503860+0
 8.850900+5 4.353970+0 8.855500+5 4.540240+0 8.860100+5 3.346950+0
 8.868100+5 3.249040+0 8.877300+5 3.174650+0 8.881900+5 4.502030+0
 8.885300+5 5.251870+0 8.891100+5 3.260600+0 8.901500+5 2.020650+0
