        eV      barns         eV      barns         eV      barns
 ---------- ---------- ---------- ---------- ---------- ----------
 1.000000-5 0.000000+0 6.000000+4 0.000000+0 6.000000+4 9.190835-3
 7.000000+4 8.401840-3 1.000000+5 7.121030-3 2.000000+5 6.775790-3
 3.000000+5 6.362400-3 4.000000+5 6.233560-3 5.000000+5 6.184160-3
 7.000000+5 6.544660-3 8.500000+5 7.013320-3 1.000000+6 7.733040-3
 1.300000+6 9.640450-3 1.500000+6 1.132850-2 1.800000+6 1.447500-2
 1.900000+6 1.546650-2 2.000000+6 1.658270-2 2.250000+6 1.761810-2
 2.500000+6 8.870210-3 2.750000+6 8.428250-3 3.000000+6 6.733040-3
 3.200000+6 6.385130-3 3.400000+6 5.998710-3 3.600000+6 5.734140-3
 3.800000+6 5.363630-3 4.000000+6 4.506890-3 4.200000+6 3.636080-3
 4.400000+6 2.691810-3 4.600000+6 2.263330-3 4.800000+6 1.935610-3
 5.000000+6 1.772040-3 5.500000+6 1.230110-3 6.000000+6 9.632500-4
 7.000000+6 6.461410-4 8.000000+6 4.867960-4 9.000000+6 3.985790-4
 1.000000+7 3.778560-4 1.100000+7 4.030490-4 1.230000+7 4.873530-4
 1.250000+7 5.071240-4 1.300000+7 5.383110-4 1.400000+7 5.824070-4
 1.500000+7 5.733540-4 1.600000+7 5.227950-4 1.700000+7 4.359540-4
 1.800000+7 3.276070-4 1.900000+7 2.383670-4 2.000000+7 1.658910-4
